Quote_ID,Project_ID,Trade_Type,Quoted_Amount,Quoted_Hours,Quote_Date,Subcontractor_Name,Total_Billed_Amount,Total_Billed_Hours,Invoice_Count,Milestone_ID,Target_Completion_Date,Actual_Completion_Date,Days_Delayed,Cost_Variance_Amount,Cost_Variance_Percent,Labor_Variance_Hours,Is_Over_Budget_Flag
QT-26828,PROJ-2024-006,Plumbing,76471.52,1282,2025-07-02,Flow State Plumbing,80062.2,1344,4,MS-96474,2025-08-16,2025-08-17,1,3590.67999999999,4.69544740316394e-02,62,1
QT-80575,PROJ-2024-014,Concrete,104003.39,2061,2025-07-11,Rock Solid Pour,123261.39,2424,3,MS-97900,2025-09-14,2025-10-06,22,19258,0.185167041189715,363,1
QT-96900,PROJ-2024-019,Concrete,23232.17,398,2025-08-05,Rock Solid Pour,24918.14,428,2,MS-13552,2025-09-30,2025-10-09,9,1685.97,7.25704916931996e-02,30,1
QT-22280,PROJ-2024-001,Framing,37059.34,604,2025-07-04,Premier Framing LLC,37459.35,616,2,MS-38657,2025-09-25,2025-09-27,2,400.010000000002,1.07937702074565e-02,12,1
QT-96374,PROJ-2024-007,Concrete,76020.73,1342,2025-06-30,Concrete Kings,90115.9,1600,4,MS-66498,2025-08-01,2025-08-25,24,14095.17,0.185412189543563,258,1
QT-98184,PROJ-2024-016,Electrical,58052.78,984,2025-07-16,Voltage Vanguard,41295.08,698,2,MS-50687,2025-08-16,2025-08-24,8,-16757.7,-0.288663178576461,-286,0
QT-19171,PROJ-2024-014,Drywall,40910.83,622,2025-07-11,Smooth Walls Inc.,39855.89,608,2,MS-97062,2025-09-04,2025-09-10,6,-1054.94,-2.57863260168518e-02,-14,0
QT-16582,PROJ-2024-016,Masonry,148985.64,1960,2025-07-16,Stonecraft Masonry,159228.88,2100,2,MS-83060,2025-09-28,2025-10-07,9,10243.24,6.87532033288577e-02,140,1
QT-62383,PROJ-2024-016,Concrete,26160.53,514,2025-07-16,Concrete Kings,28565.89,564,2,MS-41979,2025-09-02,2025-09-14,12,2405.36,9.19461494090525e-02,50,1
QT-83000,PROJ-2024-003,Concrete,53733.35,854,2025-07-09,Rock Solid Pour,63458.62,1012,4,MS-38785,2025-09-15,2025-10-08,23,9725.27,0.180991321032469,158,1
QT-76162,PROJ-2024-017,HVAC,27600.9,454,2025-07-05,Climate Control Inc.,27865.75,448,4,MS-65933,2025-09-30,2025-09-27,0,264.849999999999,9.59570158944087e-03,-6,1
QT-69829,PROJ-2024-017,Electrical,25194.7,341,2025-07-05,Voltage Vanguard,20363.33,270,3,MS-27477,2025-08-29,2025-09-05,7,-4831.37,-0.191761362508782,-71,0
QT-96951,PROJ-2024-011,Plumbing,127237.76,1941,2025-08-14,Pipe Masters,123210.94,1876,4,MS-23577,2025-10-03,2025-10-07,4,-4026.82000000001,-3.16479950605858e-02,-65,0
QT-80282,PROJ-2024-013,Masonry,123779.78,1598,2025-07-26,Stonecraft Masonry,144789.65,1878,3,MS-53404,2025-09-20,2025-10-12,22,21009.87,0.169735880933057,280,1
QT-30866,PROJ-2024-013,Plumbing,23337.34,351,2025-07-26,Pipe Masters,23697.68,354,2,MS-24168,2025-09-03,2025-09-04,1,360.34,1.54404915041731e-02,3,1
QT-58434,PROJ-2024-010,Roofing,43967.01,643,2025-07-24,WeatherGuard Roofs,42993.47,624,2,MS-47353,2025-08-31,2025-09-10,10,-973.540000000001,-2.21425109417266e-02,-19,0
QT-99593,PROJ-2024-003,Plumbing,66643.13,1303,2025-07-09,Pipe Masters,64571.51,1266,3,MS-94939,2025-09-29,2025-10-09,10,-2071.62,-3.10852746562174e-02,-37,0
QT-47388,PROJ-2024-008,Masonry,102029.97,1286,2025-07-07,Stonecraft Masonry,108304.79,1360,4,MS-65444,2025-09-14,2025-09-21,7,6274.82000000001,6.14997730568774e-02,74,1
QT-16590,PROJ-2024-019,Roofing,28518.14,409,2025-08-05,Top Tier Roofing,21728.28,306,3,MS-44099,2025-10-24,2025-10-27,3,-6789.86,-0.238089160092489,-103,0
QT-69429,PROJ-2024-002,Masonry,25157.92,329,2025-07-26,Stonecraft Masonry,27259.78,352,2,MS-93320,2025-09-28,2025-10-07,9,2101.86,8.35466525054536e-02,23,1
QT-82512,PROJ-2024-004,Masonry,80958.01,1113,2025-08-07,Brick By Brick,93223.18,1292,4,MS-11504,2025-10-17,2025-11-06,20,12265.17,0.15150038890531,179,1
QT-99192,PROJ-2024-004,Drywall,126014.67,2370,2025-08-07,Drywall Dash,127473.98,2403,3,MS-65333,2025-10-29,2025-11-04,6,1459.31000000001,1.15804770984205e-02,33,1
QT-37549,PROJ-2024-015,Framing,120659.99,1983,2025-08-16,Solid Structure Framing,123945.46,2028,4,MS-66346,2025-10-16,2025-10-18,2,3285.46999999999,2.7229158563663e-02,45,1
QT-11025,PROJ-2024-011,Electrical,149945.33,2095,2025-08-14,Voltage Vanguard,174960.17,2448,3,MS-97538,2025-10-09,2025-10-30,21,25014.84,0.166826402662891,353,1
QT-32810,PROJ-2024-015,Plumbing,114853.46,1930,2025-08-16,Pipe Masters,109495.78,1851,3,MS-90676,2025-11-14,2025-11-12,0,-5357.68000000001,-4.66479634135533e-02,-79,0
QT-18161,PROJ-2024-018,Framing,45834.6,702,2025-07-25,Premier Framing LLC,47431.84,728,2,MS-37110,2025-08-24,2025-08-20,0,1597.24,3.48479096577694e-02,26,1
QT-18392,PROJ-2024-006,Drywall,17961.85,240,2025-07-02,Drywall Dash,17168.23,236,4,MS-54313,2025-09-06,2025-09-13,7,-793.619999999999,-4.41836447804652e-02,-4,0
QT-23434,PROJ-2024-001,Plumbing,60933.82,1115,2025-07-04,Flow State Plumbing,58395.87,1072,2,MS-98696,2025-08-27,2025-09-01,5,-2537.95,-4.16509255451243e-02,-43,0
QT-39219,PROJ-2024-013,Concrete,147096.24,2302,2025-07-26,Concrete Kings,172051.22,2708,4,MS-13101,2025-09-21,2025-10-13,22,24954.98,0.169650699433242,406,1
QT-79163,PROJ-2024-006,HVAC,17071.93,314,2025-07-02,Climate Control Inc.,15860.51,300,3,MS-89507,2025-09-20,2025-09-19,0,-1211.42,-7.09597567468939e-02,-14,0
QT-24322,PROJ-2024-007,Masonry,70459.17,925,2025-06-30,Stonecraft Masonry,81000.04,1056,4,MS-42591,2025-09-23,2025-10-11,18,10540.87,0.14960252867015,131,1
QT-66057,PROJ-2024-012,Electrical,112389.02,1665,2025-08-16,Elite Electric Co.,120856.48,1800,4,MS-83519,2025-10-18,2025-10-28,10,8467.46000000001,7.53406338092458e-02,135,1
QT-44600,PROJ-2024-011,Concrete,40627.6,742,2025-08-14,Rock Solid Pour,47417.52,867,3,MS-76244,2025-10-12,2025-11-02,21,6789.92000000001,0.167125796256732,125,1
QT-23396,PROJ-2024-002,Electrical,94439.42,1881,2025-07-26,Elite Electric Co.,113121.51,2256,2,MS-22156,2025-08-28,2025-09-22,25,18682.09,0.197820888777165,375,1
QT-51145,PROJ-2024-014,Roofing,27622.57,450,2025-07-11,Top Tier Roofing,26103.77,432,4,MS-26334,2025-08-10,2025-08-20,10,-1518.8,-5.49840221239372e-02,-18,0
QT-31417,PROJ-2024-003,Framing,15228.32,196,2025-07-09,Solid Structure Framing,15542.18,192,4,MS-70589,2025-08-12,2025-08-13,1,313.860000000001,2.06102839971842e-02,-4,1
QT-16658,PROJ-2024-011,Drywall,73175.25,957,2025-08-14,Smooth Walls Inc.,75172.1,982,2,MS-22097,2025-10-06,2025-10-12,6,1996.85000000001,2.72885982623907e-02,25,1
QT-51245,PROJ-2024-003,Masonry,52070.66,995,2025-07-09,Stonecraft Masonry,57375.95,1107,3,MS-37869,2025-08-23,2025-09-06,14,5305.28999999999,0.101886359804158,112,1
QT-30374,PROJ-2024-011,HVAC,126406.9,2486,2025-08-14,AirTech Pros,131897.21,2600,4,MS-45697,2025-11-01,2025-10-28,0,5490.31000000003,4.34336258542851e-02,114,1
QT-50306,PROJ-2024-005,Masonry,74145.67,1045,2025-08-15,Brick By Brick,59125.22,834,3,MS-41385,2025-09-15,2025-09-23,8,-15020.45,-0.20258027205095,-211,0
QT-19116,PROJ-2024-002,Drywall,16257.59,237,2025-07-26,Smooth Walls Inc.,15417.71,228,4,MS-16006,2025-09-07,2025-09-05,0,-839.879999999999,-5.16607935124455e-02,-9,0
QT-83920,PROJ-2024-020,Drywall,146543.79,2353,2025-08-03,Smooth Walls Inc.,148472.83,2392,2,MS-38569,2025-09-21,2025-09-24,3,1929.04000000001,1.31635738368716e-02,39,1
QT-45992,PROJ-2024-017,Roofing,84896.13,1300,2025-07-05,Top Tier Roofing,83732.36,1272,2,MS-67654,2025-08-07,2025-08-14,7,-1163.77,-1.37081631400631e-02,-28,0
QT-43386,PROJ-2024-014,Framing,37850.87,529,2025-07-11,Solid Structure Framing,36724.2,512,4,MS-15817,2025-10-05,2025-10-15,10,-1126.67000000001,-2.97660265140538e-02,-17,0
QT-59009,PROJ-2024-005,Drywall,96501.34,1901,2025-08-15,Drywall Dash,101105.92,1988,4,MS-31174,2025-11-06,2025-11-08,2,4604.58000000002,4.77151923486245e-02,87,1
QT-49139,PROJ-2024-018,Roofing,46454.7,769,2025-07-25,Top Tier Roofing,49006,804,4,MS-61116,2025-08-24,2025-08-19,0,2551.3,5.49201695415104e-02,35,1
QT-17944,PROJ-2024-007,Roofing,104789.56,1711,2025-06-30,WeatherGuard Roofs,106800.44,1744,2,MS-62772,2025-08-29,2025-08-28,0,2010.88,1.91896979050204e-02,33,1
QT-85454,PROJ-2024-016,Framing,92598.82,1477,2025-07-16,Premier Framing LLC,71053.78,1122,3,MS-35485,2025-09-28,2025-10-08,10,-21545.04,-0.232670783493785,-355,0
QT-77000,PROJ-2024-015,Drywall,105851.98,1954,2025-08-16,Drywall Dash,103490.68,1904,2,MS-72021,2025-10-27,2025-10-31,4,-2361.3,-2.23075657158232e-02,-50,0
QT-42411,PROJ-2024-020,Framing,43307.38,612,2025-08-03,Solid Structure Framing,42494.28,596,4,MS-36130,2025-09-08,2025-09-14,6,-813.099999999999,-1.87750909891108e-02,-16,0
QT-81200,PROJ-2024-010,Masonry,135329.78,1791,2025-07-24,Brick By Brick,163126.07,2148,3,MS-49651,2025-09-03,2025-09-28,25,27796.29,0.205396698346809,357,1
QT-80702,PROJ-2024-020,Plumbing,113867.52,1804,2025-08-03,Pipe Masters,115221.12,1832,4,MS-16826,2025-09-13,2025-09-23,10,1353.59999999999,1.18874987353724e-02,28,1
QT-30028,PROJ-2024-018,Plumbing,56754.16,786,2025-07-25,Pipe Masters,54257.71,756,2,MS-38043,2025-10-08,2025-10-08,0,-2496.45,-4.39870839423929e-02,-30,0
QT-90120,PROJ-2024-016,HVAC,95591.06,1399,2025-07-16,Climate Control Inc.,93713.28,1377,3,MS-19545,2025-10-08,2025-10-06,0,-1877.78,-1.96438872003302e-02,-22,0
QT-36365,PROJ-2024-006,Framing,149652.5,2067,2025-07-02,Solid Structure Framing,157339.06,2168,4,MS-50857,2025-09-18,2025-09-26,8,7686.56,5.13627236431065e-02,101,1
QT-20328,PROJ-2024-002,Framing,53508.65,755,2025-07-26,Solid Structure Framing,51981.42,728,2,MS-82357,2025-09-12,2025-09-22,10,-1527.23,-2.85417404475726e-02,-27,0
QT-28131,PROJ-2024-004,Framing,98880.31,1730,2025-08-07,Premier Framing LLC,99887.48,1760,2,MS-76784,2025-10-12,2025-10-22,10,1007.17000000001,1.01857488108605e-02,30,1
QT-85880,PROJ-2024-009,Roofing,121836.39,2251,2025-08-10,WeatherGuard Roofs,126336.18,2344,4,MS-87924,2025-10-09,2025-10-13,4,4499.78999999999,3.69330542377363e-02,93,1
QT-58520,PROJ-2024-003,Electrical,107079,1530,2025-07-09,Elite Electric Co.,121394.55,1728,4,MS-56566,2025-09-26,2025-10-12,16,14315.55,0.133691480122153,198,1
QT-83259,PROJ-2024-017,Plumbing,60596.95,900,2025-07-05,Flow State Plumbing,62632.89,928,4,MS-88047,2025-09-30,2025-10-10,10,2035.94,3.3598060628464e-02,28,1
QT-71694,PROJ-2024-013,HVAC,32812.49,525,2025-07-26,Climate Control Inc.,33038.18,528,3,MS-39154,2025-10-07,2025-10-03,0,225.690000000002,6.87817352477677e-03,3,1
QT-29313,PROJ-2024-016,Plumbing,18940.96,277,2025-07-16,Flow State Plumbing,19497.3,276,3,MS-13201,2025-09-11,2025-09-12,1,556.34,2.93723232613342e-02,-1,1
QT-86099,PROJ-2024-014,Electrical,132938.76,2389,2025-07-11,Elite Electric Co.,118923.17,2121,3,MS-44795,2025-09-25,2025-10-18,23,-14015.59,-0.105428920805339,-268,0
QT-66179,PROJ-2024-019,Drywall,88509.9,1371,2025-08-05,Drywall Dash,44071.67,678,1,MS-27786,2025-09-15,2025-09-20,5,-44438.23,-0.502070728811127,-693,0
QT-78327,PROJ-2024-017,Drywall,62457.31,993,2025-07-05,Drywall Dash,61336.72,968,2,MS-73517,2025-09-14,2025-09-13,0,-1120.59,-1.79416948952812e-02,-25,0
QT-13534,PROJ-2024-019,Framing,125927.53,2036,2025-08-05,Solid Structure Framing,124377.9,2012,2,MS-61645,2025-10-01,2025-09-26,0,-1549.63,-1.23057285408521e-02,-24,0
QT-31798,PROJ-2024-008,Concrete,110782.36,1772,2025-07-07,Rock Solid Pour,117596.42,1884,2,MS-63269,2025-08-31,2025-09-08,8,6814.06,6.15085289751906e-02,112,1
QT-47450,PROJ-2024-017,Masonry,64330.68,913,2025-07-05,Brick By Brick,74467.91,1060,2,MS-40735,2025-09-22,2025-10-12,20,10137.23,0.157580022471393,147,1
QT-85525,PROJ-2024-007,HVAC,145707.93,1857,2025-06-30,AirTech Pros,105263.89,1335,3,MS-71953,2025-08-12,2025-08-21,9,-40444.04,-0.277569244172229,-522,0
QT-25012,PROJ-2024-020,Masonry,45542.71,784,2025-08-03,Brick By Brick,47716.53,824,4,MS-31465,2025-09-11,2025-09-17,6,2173.82000000001,4.77314591072865e-02,40,1
QT-38080,PROJ-2024-007,Plumbing,94290.95,1313,2025-06-30,Flow State Plumbing,63225.87,888,2,MS-80678,2025-09-21,2025-09-29,8,-31065.08,-0.329459826208136,-425,0
QT-77391,PROJ-2024-007,Electrical,138559.55,2446,2025-06-30,Voltage Vanguard,145982.13,2583,3,MS-41195,2025-09-08,2025-09-15,7,7422.58000000002,5.35696023839571e-02,137,1
QT-55830,PROJ-2024-013,Framing,39297.48,727,2025-07-26,Solid Structure Framing,39518.8,717,3,MS-50001,2025-10-21,2025-10-29,8,221.32,5.6319132931679e-03,-10,1
QT-23104,PROJ-2024-010,Concrete,98004.95,1554,2025-07-24,Rock Solid Pour,117726.6,1864,2,MS-19602,2025-10-12,2025-11-06,25,19721.65,0.201231162303537,310,1
QT-65392,PROJ-2024-001,Masonry,147027.91,2228,2025-07-04,Stonecraft Masonry,157583.03,2388,4,MS-54597,2025-08-11,2025-08-20,9,10555.12,7.17899070999513e-02,160,1
QT-55309,PROJ-2024-014,Plumbing,77943.81,1122,2025-07-11,Flow State Plumbing,76140.35,1095,3,MS-51114,2025-09-11,2025-09-15,4,-1803.45999999999,-2.31379502746914e-02,-27,0
QT-83385,PROJ-2024-012,Roofing,53415.82,670,2025-08-16,WeatherGuard Roofs,55260.07,696,4,MS-63264,2025-09-23,2025-10-03,10,1844.25,3.45262882793899e-02,26,1
QT-63424,PROJ-2024-018,HVAC,113946.34,2128,2025-07-25,Climate Control Inc.,111437.01,2094,3,MS-53369,2025-09-20,2025-09-15,0,-2509.32999999999,-2.20220324759881e-02,-34,0
QT-17492,PROJ-2024-009,HVAC,83645.95,1655,2025-08-10,Climate Control Inc.,82118.73,1602,3,MS-16572,2025-09-22,2025-09-26,4,-1527.22,-1.82581463896339e-02,-53,0
QT-30730,PROJ-2024-005,Plumbing,74463.29,1341,2025-08-15,Flow State Plumbing,72749.69,1308,3,MS-69470,2025-11-08,2025-11-04,0,-1713.59999999999,-2.30126818194575e-02,-33,0
QT-42406,PROJ-2024-017,Concrete,97393.1,1773,2025-07-05,Concrete Kings,109575.97,2000,2,MS-93579,2025-09-19,2025-10-05,16,12182.87,0.125089662409349,227,1
QT-62581,PROJ-2024-003,Roofing,33000.78,516,2025-07-09,WeatherGuard Roofs,34665.04,540,3,MS-45093,2025-10-04,2025-10-09,5,1664.26,0.05043092920834,24,1
QT-76307,PROJ-2024-010,Drywall,32041.05,561,2025-07-24,Smooth Walls Inc.,30917.1,552,4,MS-44760,2025-10-22,2025-10-28,6,-1123.95,-3.50784384406878e-02,-9,0
QT-65296,PROJ-2024-008,Electrical,97214.31,1394,2025-07-07,Elite Electric Co.,106734.01,1540,2,MS-34050,2025-08-07,2025-08-20,13,9519.70000000001,9.79248836925347e-02,146,1
QT-97670,PROJ-2024-019,Plumbing,35023.71,491,2025-08-05,Flow State Plumbing,25307.34,366,3,MS-99016,2025-09-07,2025-09-13,6,-9716.37,-0.27742263740763,-125,0
QT-11934,PROJ-2024-008,Framing,118161.72,2014,2025-07-07,Premier Framing LLC,112249.9,1914,3,MS-22224,2025-09-22,2025-09-20,0,-5911.82000000001,-5.00316007586891e-02,-100,0
QT-44522,PROJ-2024-005,HVAC,119718.63,1949,2025-08-15,AirTech Pros,117821.62,1911,3,MS-75612,2025-10-21,2025-10-30,9,-1897.01000000001,-1.58455705682567e-02,-38,0
QT-42742,PROJ-2024-008,Plumbing,27387.29,415,2025-07-07,Pipe Masters,27266.54,412,2,MS-19880,2025-08-27,2025-09-03,7,-120.75,-4.40897949377248e-03,-3,0
QT-81582,PROJ-2024-018,Masonry,83232.75,1204,2025-07-25,Stonecraft Masonry,94404.68,1368,4,MS-89069,2025-08-28,2025-09-14,17,11171.93,0.134225169779924,164,1
QT-96163,PROJ-2024-009,Masonry,29965.82,388,2025-08-10,Stonecraft Masonry,35050.15,462,2,MS-86503,2025-10-13,2025-11-06,24,5084.32999999999,0.169670978468135,74,1
QT-93748,PROJ-2024-005,Concrete,126595.21,2428,2025-08-15,Rock Solid Pour,135823.55,2622,3,MS-76540,2025-11-03,2025-11-13,10,9228.33999999998,7.28964389726908e-02,194,1
QT-13278,PROJ-2024-001,Electrical,18376.45,315,2025-07-04,Elite Electric Co.,19763.94,344,4,MS-46048,2025-08-11,2025-08-23,12,1387.49,7.55037017487056e-02,29,1
QT-23947,PROJ-2024-005,Framing,54320,954,2025-08-15,Solid Structure Framing,55758.44,972,2,MS-91959,2025-10-13,2025-10-17,4,1438.44,2.64808541973491e-02,18,1
QT-34356,PROJ-2024-009,Concrete,77326.8,1323,2025-08-10,Rock Solid Pour,88489.61,1504,4,MS-18981,2025-10-11,2025-10-28,17,11162.81,0.144358876870632,181,1
QT-81819,PROJ-2024-015,HVAC,16665.98,267,2025-08-16,Climate Control Inc.,16644.88,272,2,MS-10053,2025-10-20,2025-10-17,0,-21.0999999999985,-1.26605216134896e-03,5,0
QT-63964,PROJ-2024-013,Electrical,108189.2,1564,2025-07-26,Voltage Vanguard,120148,1740,4,MS-97806,2025-09-17,2025-10-01,14,11958.8,0.110535986956184,176,1
QT-46463,PROJ-2024-001,Roofing,146204.89,2007,2025-07-04,WeatherGuard Roofs,151893.93,2080,4,MS-10851,2025-08-22,2025-08-20,0,5689.03999999998,3.89114208149945e-02,73,1
QT-26683,PROJ-2024-015,Electrical,74006.91,985,2025-08-16,Elite Electric Co.,82032.04,1104,4,MS-35144,2025-10-23,2025-11-07,15,8025.12999999999,0.108437576977609,119,1
QT-41266,PROJ-2024-020,Concrete,50252.24,946,2025-08-03,Rock Solid Pour,56542.24,1059,3,MS-26544,2025-09-12,2025-09-27,15,6290.00000000001,0.125168549700471,113,1
QT-31299,PROJ-2024-012,Masonry,147527.5,2294,2025-08-16,Stonecraft Masonry,161909.15,2514,3,MS-33206,2025-09-15,2025-09-27,12,14381.65,9.7484536781278e-02,220,1
QT-73699,PROJ-2024-006,Electrical,76666.17,1411,2025-07-02,Elite Electric Co.,82915.39,1536,4,MS-19071,2025-09-28,2025-10-09,11,6249.21999999999,8.15120932739954e-02,125,1
QT-87128,PROJ-2024-006,Roofing,56705.94,897,2025-07-02,Top Tier Roofing,57781.34,918,3,MS-38864,2025-08-06,2025-08-12,6,1075.39999999999,1.89645035423096e-02,21,1
QT-67422,PROJ-2024-006,Concrete,46345.44,670,2025-07-02,Concrete Kings,39989.59,579,3,MS-77839,2025-08-17,2025-09-05,19,-6355.85000000001,-0.137140784508681,-91,0
QT-57052,PROJ-2024-002,Plumbing,47804.63,745,2025-07-26,Flow State Plumbing,47050.66,720,4,MS-55082,2025-08-31,2025-09-08,8,-753.970000000001,-1.57719032654369e-02,-25,0
QT-72216,PROJ-2024-017,Framing,108694.19,1690,2025-07-05,Solid Structure Framing,107237.49,1670,2,MS-68991,2025-09-19,2025-09-21,2,-1456.70000000001,-1.34018202812865e-02,-20,0
QT-32241,PROJ-2024-015,Roofing,121747.32,2003,2025-08-16,Top Tier Roofing,87054.99,1443,3,MS-96356,2025-09-30,2025-09-27,0,-34692.33,-0.284953541482474,-560,0
QT-10726,PROJ-2024-016,Drywall,88175.86,1213,2025-07-16,Drywall Dash,43879.27,610,1,MS-23970,2025-09-11,2025-09-20,9,-44296.59,-0.502366407313748,-603,0
QT-58393,PROJ-2024-012,HVAC,52665.86,893,2025-08-16,AirTech Pros,54016.3,916,2,MS-86350,2025-10-30,2025-11-03,4,1350.44,2.56416585621122e-02,23,1
QT-44179,PROJ-2024-010,Electrical,24136.71,367,2025-07-24,Voltage Vanguard,27730.92,428,4,MS-36772,2025-10-12,2025-11-02,21,3594.21,0.148910518459227,61,1
QT-52840,PROJ-2024-019,Masonry,127954.07,1722,2025-08-05,Stonecraft Masonry,148617.77,1998,3,MS-54236,2025-10-08,2025-10-28,20,20663.7,0.161493104517895,276,1
QT-32431,PROJ-2024-003,HVAC,30571.14,386,2025-07-09,AirTech Pros,30794.01,388,2,MS-80010,2025-08-24,2025-08-24,0,222.870000000003,7.29020900103832e-03,2,1
QT-61049,PROJ-2024-018,Concrete,45309.57,789,2025-07-25,Rock Solid Pour,51049.58,884,2,MS-86556,2025-09-10,2025-09-25,15,5740.01,0.126684274425911,95,1
